"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"43729" "00786" "LA PLATA" "Puerto Rico" "PR" NA "18.16" "-66.23"
"43730" "00791" "HUMACAO" "Puerto Rico" "PR" NA "18.15" "-65.81"
"43731" "00792" "HUMACAO" "Puerto Rico" "PR" NA "18.15" "-65.81"
"43732" "00794" "BARRANQUITAS" "Puerto Rico" "PR" NA "18.18" "-66.30"
"43733" "00795" "JUANA DIAZ" "Puerto Rico" "PR" NA "18.05" "-66.50"
"43734" "00801" "ST THOMAS" "Virgin Islands" "VI" NA "18.35" "-64.93"
"43735" "00802" "ST THOMAS" "Virgin Islands" "VI" NA "18.35" "-64.93"
"43736" "00803" "ST THOMAS" "Virgin Islands" "VI" NA "18.35" "-64.93"
"43737" "00804" "ST THOMAS" "Virgin Islands" "VI" NA "18.35" "-64.93"
"43738" "00805" "ST THOMAS" "Virgin Islands" "VI" NA "18.34" "-64.93"
"43739" "00820" "CHRISTIANSTED" "Virgin Islands" "VI" NA "17.74" "-64.70"
"43740" "00821" "CHRISTIANSTED" "Virgin Islands" "VI" NA "17.74" "-64.70"
"43741" "00822" "CHRISTIANSTED" "Virgin Islands" "VI" NA "17.74" "-64.70"
"43742" "00823" "CHRISTIANSTED" "Virgin Islands" "VI" NA "17.74" "-64.70"
"43743" "00824" "CHRISTIANSTED" "Virgin Islands" "VI" NA "17.74" "-64.70"
"43744" "00830" "ST JOHN" "Virgin Islands" "VI" NA "18.33" "-64.79"
"43745" "00831" "ST JOHN" "Virgin Islands" "VI" NA "18.33" "-64.79"
"43746" "00840" "FREDERIKSTED" "Virgin Islands" "VI" NA "17.71" "-64.88"
"43747" "00841" "FREDERIKSTED" "Virgin Islands" "VI" NA "17.71" "-64.88"
"43748" "00850" "KINGSHILL" "Virgin Islands" "VI" NA "17.76" "-64.82"
"43749" "00851" "KINGSHILL" "Virgin Islands" "VI" NA "17.73" "-64.80"
"43750" "00901" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43751" "00902" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43752" "00906" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43753" "00907" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43754" "00908" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43755" "00909" "SAN JUAN" "Puerto Rico" "PR" NA "18.44" "-66.06"
"43756" "00910" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43757" "00911" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43758" "00912" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43759" "00913" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43760" "00914" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43761" "00915" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43762" "00916" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43763" "00917" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43764" "00918" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43765" "00919" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43766" "00920" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43767" "00921" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43768" "00922" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43769" "00923" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43770" "00924" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43771" "00925" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43772" "00926" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43773" "00927" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43774" "00928" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43775" "00929" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43776" "00930" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43777" "00931" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43778" "00933" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43779" "00934" "FORT BUCHANAN" "Puerto Rico" "PR" NA "18.41" "-66.11"
"43780" "00935" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43781" "00936" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43782" "00937" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43783" "00939" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43784" "00940" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43785" "00949" "TOA BAJA" "Puerto Rico" "PR" NA "18.44" "-66.25"
"43786" "00950" "TOA BAJA" "Puerto Rico" "PR" NA "18.44" "-66.25"
"43787" "00951" "TOA BAJA" "Puerto Rico" "PR" NA "18.44" "-66.25"
"43788" "00952" "SABANA SECA" "Puerto Rico" "PR" NA "18.42" "-66.19"
"43789" "00953" "TOA ALTA" "Puerto Rico" "PR" NA "18.39" "-66.25"
"43790" "00954" "TOA ALTA" "Puerto Rico" "PR" NA "18.39" "-66.25"
"43791" "00955" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43792" "00956" "BAYAMON" "Puerto Rico" "PR" NA "18.28" "-66.13"
"43793" "00957" "BAYAMON" "Puerto Rico" "PR" NA "18.28" "-66.13"
"43794" "00958" "BAYAMON" "Puerto Rico" "PR" NA "18.28" "-66.13"
"43795" "00959" "BAYAMON" "Puerto Rico" "PR" NA "18.28" "-66.13"
"43796" "00960" "BAYAMON" "Puerto Rico" "PR" NA "18.28" "-66.13"
"43797" "00961" "BAYAMON" "Puerto Rico" "PR" NA "18.41" "-66.15"
"43798" "00962" "CATANO" "Puerto Rico" "PR" NA "18.43" "-66.11"
"43799" "00963" "CATANO" "Puerto Rico" "PR" NA "18.43" "-66.11"
"43800" "00965" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43801" "00966" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43802" "00968" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43803" "00969" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43804" "00970" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43805" "00971" "GUAYNABO" "Puerto Rico" "PR" NA "18.38" "-66.11"
"43806" "00975" "SAN JUAN" "Puerto Rico" "PR" NA "18.40" "-66.06"
"43807" "00976" "TRUJILLO ALTO" "Puerto Rico" "PR" NA "18.36" "-66.01"
"43808" "00977" "TRUJILLO ALTO" "Puerto Rico" "PR" NA "18.36" "-66.01"
"43809" "00978" "SAINT JUST" "Puerto Rico" "PR" NA "18.37" "-66.01"
"43810" "00979" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43811" "00981" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43812" "00982" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43813" "00983" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43814" "00984" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43815" "00985" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43816" "00986" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43817" "00987" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"43818" "00988" "CAROLINA" "Puerto Rico" "PR" NA "18.40" "-65.98"
"10" "01001" "Agawam" "Massachusetts" "MA" "Hampden" "42.0702" "-72.6227"
"11" "01002" "Amherst" "Massachusetts" "MA" "Hampshire" "42.3671" "-72.4646"
"12" "01003" "Amherst" "Massachusetts" "MA" "Hampshire" "42.3919" "-72.5248"
"13" "01004" "Amherst" "Massachusetts" "MA" "Hampshire" "42.3845" "-72.5132"
"14" "01005" "Barre" "Massachusetts" "MA" "Worcester" "42.4097" "-72.1084"
